Date,Contact,Amount,Nominal
2025-06-15,Ancestry,-3.5,Personal Spend
2025-06-20,Michael Hards Natwest,389.72,Personal Spend
2025-06-21,Glasses2you,-89.92,Personal Spend
2025-06-22,Clearpay,-13.5,Personal Spend
2025-06-22,Clearpay,-4.07,Personal Spend
2025-06-23,Morrisons,-52.28,Personal Spend
2025-06-23,Flow Insurance,-110.02,Personal Spend
2025-06-23,Ubisoft,-14.99,Personal Spend
2025-06-24,Amazon,-18.99,Personal Spend
2025-06-25,Competition Line,-19.99,Personal Spend
2025-06-25,Amazon Marketplace,-17.59,Personal Spend
2025-06-27,Amazon Marketplace,-9.99,Personal Spend
2025-06-28,Amazon Marketplace,-9.99,Personal Spend
2025-06-28,Co-op,-5.6,Personal Spend
2025-06-28,Tee,87.06,Personal Spend
2025-06-29,Stagecoach,-2.5,Personal Spend
2025-06-29,Poundland,-1.35,Personal Spend
2025-06-29,B&M,-6.6,Personal Spend
2025-06-29,Portsmouthfc,-4.5,Personal Spend
2025-06-29,McDonald's,-19.58,Personal Spend
2025-06-30,Efkaristo Ltd.,-108.76,Personal Spend
2025-06-30,Tee,42.0,Personal Spend
2025-06-30,Efkaristo Ltd.,-42.0,Personal Spend
2025-06-30,Efkaristo Ltd.,-15.0,Personal Spend
2025-07-02,Efkaristo Ltd.,-15.0,Personal Spend
2025-07-04,Tee,25.0,Personal Spend
2025-07-04,Tee,-25.0,Personal Spend
2025-07-05,Tesco,-27.13,Personal Spend
2025-07-05,Microsoft,-14.99,Personal Spend
